verbatimScientificName,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year,bio_01,bio_02,bio_03,bio_04,bio_05,bio_06,bio_07,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,elevation
Ochlerotatus zoosophus,24.678194,-98.634,0.0,2010,21.9174,13.67157,52.05827,476.70331,34.73407,8.47202,26.26205,27.25786,16.67636,653.88153,128.2261,18.04615,57.59543,256.68024,74.50434,532.0
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1961,22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5
Aedes (Protomacleaya) zoosophus,19.776111,-100.007222,0.0,2012,11.95087,14.17299,69.31697,163.84288,22.15226,1.70562,20.44664,13.71136,10.03736,845.0899,189.27341,8.99832,93.38829,493.12189,30.43988,2885.0
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1964,22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1965,22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1965,22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1961,22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5
Aedes (Protomacleaya) zoosophus,28.7,-100.523055,50.0,1968,21.75008,13.63972,42.94285,687.65991,37.35093,5.58843,31.7625,29.82625,14.42214,517.3858,72.83917,18.94493,45.76234,190.50873,68.41923,221.5
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1961,22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1961,22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1964,22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1962,22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5
Aedes (Protomacleaya) zoosophus,21.287222,-98.946667,0.0,2004,23.2049,11.85925,54.8716,358.26431,33.68587,12.07314,21.61273,26.87697,19.02755,1533.23474,327.6503,32.96829,77.64045,774.91852,105.96432,414.5
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1961,22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1965,22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1961,22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1961,22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1961,22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5
