verbatimScientificName,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year,bio_01,bio_02,bio_03,bio_04,bio_05,bio_06,bio_07,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,elevation
Anopheles (Anopheles) pseudopunctipennis,17.806667,-96.256111,90.0,2002,24.67657,10.66086,54.89468,249.4543,34.74213,15.32156,19.42057,27.23444,21.63311,2467.69067,473.67981,41.74902,84.71743,1328.10022,140.23955,58.0
Anopheles (Anopheles) pseudopunctipennis,16.355639,-94.188555,100.0,2001,27.15879,13.17409,70.39133,137.10332,35.9892,17.2737,18.7155,28.34449,25.53683,1100.71484,235.91901,2.28288,104.17532,635.65491,10.94518,46.0
Anopheles (Anopheles) pseudopunctipennis,15.099722,-92.215555,100.0,2001,24.61338,12.73822,76.17947,88.56138,32.62226,15.90093,16.72133,25.49663,23.60777,3558.18652,667.10382,15.00706,85.4376,1742.78113,120.69089,695.0
Anopheles (Anopheles) pseudopunctipennis,16.119528,-93.79225,100.0,2002,27.99752,11.57192,72.32563,109.60458,35.57936,19.57961,15.99975,29.10035,26.82857,1485.28955,298.0242,2.12081,101.99736,839.29022,20.21428,45.5
Anopheles (Anopheles) pseudopunctipennis,16.096667,-91.628889,100.0,2002,18.42709,9.85506,62.60247,152.79663,26.44023,10.69794,15.74229,19.90507,16.56017,1487.60974,279.77301,28.32784,78.19318,685.24481,92.98242,1437.5
Anopheles (Anopheles) pseudopunctipennis,16.0785,-91.099722,100.0,2001,24.98471,10.05372,58.31379,192.53807,33.80743,16.56671,17.24072,26.8276,22.63666,3245.00928,645.44708,51.2506,81.92896,1739.81506,197.96324,180.0
Anopheles (Anopheles) pseudopunctipennis,16.081694,-91.094111,100.0,2002,24.98471,10.05372,58.31379,192.53807,33.80743,16.56671,17.24072,26.8276,22.63666,3245.00928,645.44708,51.2506,81.92896,1739.81506,197.96324,180.0
Anopheles (Anopheles) pseudopunctipennis,16.657667,-96.101139,100.0,2001,23.39447,14.56782,65.57534,184.92329,34.24763,12.03224,22.21539,25.23314,21.11233,660.33038,138.57449,2.50562,97.64524,363.54858,18.66681,868.0
Anopheles (Anopheles) pseudopunctipennis,18.325,-99.415278,90.0,2002,24.77849,15.46414,66.64871,203.58723,36.59244,13.38999,23.20245,27.17924,22.39861,941.51465,203.0899,2.11849,112.11717,596.30981,8.83981,853.0
Anopheles (Anopheles) pseudopunctipennis,18.266944,-100.393333,90.0,2002,27.28193,14.88192,61.60198,226.20914,40.25919,16.10101,24.15818,30.29628,25.04201,1108.09546,253.3374,2.30843,117.40603,727.81238,7.29131,316.0
Anopheles (Anopheles) pseudopunctipennis,18.303056,-99.274167,90.0,2002,24.03432,15.50021,68.51577,190.53003,35.6122,12.98937,22.62283,26.29062,21.79512,927.87579,199.1432,1.85467,111.71991,586.45099,8.88932,1058.5
Anopheles (Anopheles) pseudopunctipennis,25.998611,-108.343055,60.0,1990,24.39826,17.43019,60.30479,445.94278,37.72114,8.81766,28.90349,29.53356,19.56847,730.74792,218.7301,1.43981,123.68057,549.51709,12.39715,105.0
Anopheles (Anopheles) pseudopunctipennis,16.414083,-95.597222,100.0,2001,26.63327,13.0701,66.70173,168.07153,36.00553,16.41068,19.59485,28.24943,24.64031,746.61578,169.3504,2.23902,110.52313,466.95981,10.92361,185.0
Anopheles (Anopheles) pseudopunctipennis,16.518889,-90.650555,100.0,1990,24.79758,11.39164,59.64727,213.79858,34.73128,15.63294,19.09834,26.87456,22.17352,2607.88159,472.01682,50.87394,69.62755,1269.28992,187.27271,129.5
Anopheles (Anopheles) pseudopunctipennis,16.578694,-96.736055,100.0,2002,20.30725,16.18707,69.10963,187.99106,31.27581,7.8535,23.42231,22.19241,18.03752,679.53955,141.98511,1.01884,90.70528,361.27249,20.18799,1450.0
Anopheles (Anopheles) pseudopunctipennis,15.90475,-96.895222,100.0,2002,25.58295,13.44972,70.37226,134.4294,34.10439,14.99214,19.11225,26.80495,24.09337,1006.33209,247.27831,1.16744,115.07873,643.41943,11.9403,90.5
Anopheles (Anopheles) pseudopunctipennis,16.414167,-95.5975,100.0,2002,26.63327,13.0701,66.70173,168.07153,36.00553,16.41068,19.59485,28.24943,24.64031,746.61578,169.3504,2.23902,110.52313,466.95981,10.92361,185.0
Anopheles (Anopheles) pseudopunctipennis,15.076111,-92.225,100.0,2001,24.31412,12.66509,77.07267,85.17384,32.17089,15.73823,16.43266,25.13522,23.35814,3613.17822,672.70319,15.98083,85.07095,1763.87268,126.96262,682.0
Anopheles (Anopheles) pseudopunctipennis,15.075556,-92.225555,100.0,1990,24.11339,12.62055,77.58488,83.68952,31.87961,15.61284,16.26677,24.9035,23.17772,3642.36426,676.16577,16.7561,84.91205,1775.83484,131.1098,682.0
Anopheles (Anopheles) pseudopunctipennis,25.998611,-108.343055,60.0,1990,24.39826,17.43019,60.30479,445.94278,37.72114,8.81766,28.90349,29.53356,19.56847,730.74792,218.7301,1.43981,123.68057,549.51709,12.39715,105.0
